
2024/05/06 (21:11:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (21:11:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (22:35:03) | ===> btop++ v.1.3.2
2024/05/06 (22:35:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (22:35:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (23:20:01) | ===> btop++ v.1.3.2
2024/05/06 (23:20:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (23:20:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (23:20:21) | ===> btop++ v.1.3.2
2024/05/06 (23:20:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (23:20:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (23:26:08) | ===> btop++ v.1.3.2
2024/05/06 (23:26:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (23:26:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (23:52:09) | ===> btop++ v.1.3.2
2024/05/06 (23:52:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (23:52:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (23:52:15) | ===> btop++ v.1.3.2
2024/05/06 (23:52:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/06 (23:52:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (01:01:46) | ===> btop++ v.1.3.2
2024/05/07 (01:01:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (01:01:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (01:24:17) | ===> btop++ v.1.3.2
2024/05/07 (01:24:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (01:24:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (02:29:29) | ===> btop++ v.1.3.2
2024/05/07 (02:29:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (02:29:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (03:08:06) | ===> btop++ v.1.3.2
